#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Mar 12 19:24:08 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vtx240t
#SPEED GRADE:      -2
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AA26,,,VCCINT,,,,,,,,1.0,,,,
AA27,,,GND,,,,,,,,,,,,
AA28,,,VCCAUX,,,,,,,,2.5,,,,
AA29,,,GND,,,,,,,,,,,,
AA30,,IOBM,IO_L11P_CC_SM14P_11,UNUSED,,11,,,,,,,,,
AA31,,IOBS,IO_L11N_CC_SM14N_11,UNUSED,,11,,,,,,,,,
AA32,,IOBS,IO_L6N_11,UNUSED,,11,,,,,,,,,
AA33,,,GND,,,,,,,,,,,,
AA34,,IOBS,IO_L17N_SM11N_11,UNUSED,,11,,,,,,,,,
AA35,,IOBM,IO_L13P_11,UNUSED,,11,,,,,,,,,
AA36,,IOBM,IO_L4P_11,UNUSED,,11,,,,,,,,,
AA37,,IOBM,IO_L2P_11,UNUSED,,11,,,,,,,,,
AA38,,,GND,,,,,,,,,,,,
AA39,,,MGTAVTTRXC_L,,,,,,,,,,,,
AA40,,,MGTAVTTTX_111,,,,,,,,,,,,
AA41,,OPAD,MGTTXP1_111,UNUSED,,,,,,,,,,,
AA42,,,GND,,,,,,,,,,,,
AB1,,,GND,,,,,,,,,,,,
AB2,pcie_top_0_pci_exp_0_txp_pin,OPAD,MGTTXP0_114,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AB3,,,GND,,,,,,,,,,,,
AB4,,,MGTRREF_112,,,,,,,,,,,,
AB5,,,GND,,,,,,,,,,,,
AB6,,IOBM,IO_L7P_12,UNUSED,,12,,,,,,,,,
AB7,,IOBS,IO_L9N_CC_12,UNUSED,,12,,,,,,,,,
AB8,,IOBM,IO_L9P_CC_12,UNUSED,,12,,,,,,,,,
AB9,,IOBS,IO_L12N_VRP_12,UNUSED,,12,,,,,,,,,
AB10,,,GND,,,,,,,,,,,,
AB11,,IOBS,IO_L18N_12,UNUSED,,12,,,,,,,,,
AB12,,,GND,,,,,,,,,,,,
AB13,,,VCCINT,,,,,,,,1.0,,,,
AB14,,,GND,,,,,,,,,,,,
AB15,,,VCCINT,,,,,,,,1.0,,,,
AB16,,,GND,,,,,,,,,,,,
AB17,,,VCCINT,,,,,,,,1.0,,,,
AB18,,,GND,,,,,,,,,,,,
AB19,,,VCCINT,,,,,,,,1.0,,,,
AB20,,,GND,,,,,,,,,,,,
AB21,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
AB22,,,VREFP_0,,,,,,,,,,,,
AB23,,,VCCINT,,,,,,,,1.0,,,,
AB24,,,GND,,,,,,,,,,,,
AB25,,,VCCINT,,,,,,,,1.0,,,,
AB26,,,GND,,,,,,,,,,,,
AB27,,,VCCINT,,,,,,,,1.0,,,,
AB28,,,GND,,,,,,,,,,,,
AB29,,,VCCAUX,,,,,,,,2.5,,,,
AB30,,,GND,,,,,,,,,,,,
AB31,,IOBS,IO_L19N_SM9N_11,UNUSED,,11,,,,,,,,,
AB32,,IOBM,IO_L19P_SM9P_11,UNUSED,,11,,,,,,,,,
AB33,,IOBM,IO_L2P_SM6P_13,UNUSED,,13,,,,,,,,,
AB34,,IOBM,IO_L17P_SM11P_11,UNUSED,,11,,,,,,,,,
AB35,,,VCCO_11,,,11,,,,,any******,,,,
AB36,,IOBS,IO_L15N_SM13N_11,UNUSED,,11,,,,,,,,,
AB37,,IOBS,IO_L4N_VREF_11,UNUSED,,11,,,,,,,,,
AB38,,,GND,,,,,,,,,,,,
AB39,,,MGTRREF_111,,,,,,,,,,,,
AB40,,,GND,,,,,,,,,,,,
AB41,,OPAD,MGTTXP0_113,UNUSED,,,,,,,,,,,
AB42,,,GND,,,,,,,,,,,,
AC1,pcie_top_0_pci_exp_0_rxp_pin,IPAD,MGTRXP0_114,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AC2,pcie_top_0_pci_exp_0_txn_pin,OPAD,MGTTXN0_114,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AC3,,,MGTAVTTRX_114,,,,,,,,,,,,
AC4,,,GND,,,,,,,,,,,,
AC5,,,GND,,,,,,,,,,,,
AC6,,IOBS,IO_L7N_12,UNUSED,,12,,,,,,,,,
AC7,,,GND,,,,,,,,,,,,
AC8,,IOBM,IO_L12P_VRN_12,UNUSED,,12,,,,,,,,,
AC9,,IOBM,IO_L14P_12,UNUSED,,12,,,,,,,,,
AC10,,IOBS,IO_L16N_12,UNUSED,,12,,,,,,,,,
AC11,,IOBM,IO_L18P_12,UNUSED,,12,,,,,,,,,
AC12,,,VCCAUX,,,,,,,,2.5,,,,
AC13,,,GND,,,,,,,,,,,,
AC14,,,VCCINT,,,,,,,,1.0,,,,
AC15,,,GND,,,,,,,,,,,,
AC16,,,VCCINT,,,,,,,,1.0,,,,
AC17,,,GND,,,,,,,,,,,,
AC18,,,VCCINT,,,,,,,,1.0,,,,
AC19,,,GND,,,,,,,,,,,,
AC20,,,VCCINT,,,,,,,,1.0,,,,
AC21,,,DXN_0,,,,,,,,,,,,
