#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Mar 12 19:24:08 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vtx240t
#SPEED GRADE:      -2
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AH34,,IOBM,IO_L10P_CC_25,UNUSED,,25,,,,,,,,,
AH35,,IOBM,IO_L12P_VRN_25,UNUSED,,25,,,,,,,,,
AH36,,IOBS,IO_L18N_13,UNUSED,,13,,,,,,,,,
AH37,,,VCCO_13,,,13,,,,,any******,,,,
AH38,,IOBM,IO_L13P_13,UNUSED,,13,,,,,,,,,
AH39,,,GND,,,,,,,,,,,,
AH40,,,GND,,,,,,,,,,,,
AH41,,OPAD,MGTTXP0_117,UNUSED,,,,,,,,,,,
AH42,,,GND,,,,,,,,,,,,
AJ1,pcie_top_0_pci_exp_2_rxp_pin,IPAD,MGTRXP0_118,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AJ2,pcie_top_0_pci_exp_2_txn_pin,OPAD,MGTTXN0_118,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AJ3,,,MGTAVTTRX_118,,,,,,,,,,,,
AJ4,,,GND,,,,,,,,,,,,
AJ5,,,GND,,,,,,,,,,,,
AJ6,,IOBM,IO_L12P_VRN_14,UNUSED,,14,,,,,,,,,
AJ7,,IOBS,IO_L12N_VRP_14,UNUSED,,14,,,,,,,,,
AJ8,,IOBS,IO_L13N_14,UNUSED,,14,,,,,,,,,
AJ9,,,GND,,,,,,,,,,,,
AJ10,,IOBM,IO_L4P_26,UNUSED,,26,,,,,,,,,
AJ11,,IOBS,IO_L4N_VREF_26,UNUSED,,26,,,,,,,,,
AJ12,,IOBM,IO_L9P_CC_26,UNUSED,,26,,,,,,,,,
AJ13,,IOBS,IO_L5N_30,UNUSED,,30,,,,,,,,,
AJ14,,,VCCO_30,,,30,,,,,any******,,,,
AJ15,,IOBM,IO_L1P_30,UNUSED,,30,,,,,,,,,
AJ16,,,CCLK_0,,,,,,,,,,,,
AJ17,,IOBM,IO_L0P_CC_RS1_2,UNUSED,,2,,,,,,,,,
AJ18,,IOBS,IO_L2N_A22_2,UNUSED,,2,,,,,,,,,
AJ19,,,GND,,,,,,,,,,,,
AJ20,,,VCCINT,,,,,,,,1.0,,,,
AJ21,,,GND,,,,,,,,,,,,
AJ22,,,VCCINT,,,,,,,,1.0,,,,
AJ23,,,GND,,,,,,,,,,,,
AJ24,,,VCCO_4,,,4,,,,,3.30,,,,
AJ25,,IOBM,IO_L4P_GC_4,UNUSED,,4,,,,,,,,,
AJ26,,,VCCINT,,,,,,,,1.0,,,,
AJ27,,,M1_0,,,,,,,,,,,,
AJ28,,,M0_0,,,,,,,,,,,,
AJ29,,,GND,,,,,,,,,,,,
AJ30,,IOBS,IO_L2N_29,UNUSED,,29,,,,,,,,,
AJ31,,IOBM,IO_L3P_25,UNUSED,,25,,,,,,,,,
AJ32,,IOBS,IO_L3N_25,UNUSED,,25,,,,,,,,,
AJ33,,IOBM,IO_L0P_25,UNUSED,,25,,,,,,,,,
AJ34,,,VCCO_25,,,25,,,,,any******,,,,
AJ35,,IOBS,IO_L12N_VRP_25,UNUSED,,25,,,,,,,,,
AJ36,,IOBM,IO_L18P_13,UNUSED,,13,,,,,,,,,
AJ37,,IOBS,IO_L14N_VREF_13,UNUSED,,13,,,,,,,,,
AJ38,,,GND,,,,,,,,,,,,
AJ39,,,GND,,,,,,,,,,,,
AJ40,,,MGTAVTTRX_117,,,,,,,,,,,,
AJ41,,OPAD,MGTTXN0_117,UNUSED,,,,,,,,,,,
AJ42,,IPAD,MGTRXP0_117,UNUSED,,,,,,,,,,,
AK1,pcie_top_0_pci_exp_2_rxn_pin,IPAD,MGTRXN0_118,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AK2,,,GND,,,,,,,,,,,,
AK3,,IPAD,MGTREFCLKN_118,UNUSED,,,,,,,,,,,
AK4,,IPAD,MGTREFCLKP_118,UNUSED,,,,,,,,,,,
AK5,,,GND,,,,,,,,,,,,
AK6,,,GND,,,,,,,,,,,,
AK7,,IOBM,IO_L14P_14,UNUSED,,14,,,,,,,,,
AK8,,IOBM,IO_L11P_CC_14,UNUSED,,14,,,,,,,,,
AK9,,IOBM,IO_L6P_14,UNUSED,,14,,,,,,,,,
AK10,,IOBS,IO_L2N_26,UNUSED,,26,,,,,,,,,
AK11,,,VCCO_26,,,26,,,,,any******,,,,
AK12,,IOBS,IO_L9N_CC_26,UNUSED,,26,,,,,,,,,
AK13,,IOBM,IO_L7P_30,UNUSED,,30,,,,,,,,,
AK14,,IOBS,IO_L7N_30,UNUSED,,30,,,,,,,,,
AK15,,IOBM,IO_L19P_30,UNUSED,,30,,,,,,,,,
AK16,,,GND,,,,,,,,,,,,
AK17,,IOBS,IO_L0N_CC_RS0_2,UNUSED,,2,,,,,,,,,
AK18,,IOBM,IO_L2P_A23_2,UNUSED,,2,,,,,,,,,
AK19,,IOBS,IO_L8N_D2_FS2_2,UNUSED,,2,,,,,,,,,
AK20,,IOBM,IO_L9P_CC_GC_4,UNUSED,,4,,,,,,,,,
AK21,,,VCCO_4,,,4,,,,,3.30,,,,
AK22,,IOBS,IO_L12N_VRP_6,UNUSED,,6,,,,,,,,,
AK23,MDC,IOB,IO_L8P_CC_GC_4,OUTPUT,LVCMOS33,4,12,SLOW,,,,LOCATED,NO,NONE,
AK24,,IOBS,IO_L8N_CC_GC_4,UNUSED,,4,,,,,,,,,
AK25,,IOBS,IO_L4N_GC_VREF_4,UNUSED,,4,,,,,,,,,
AK26,,,GND,,,,,,,,,,,,
AK27,,IOBS,IO_L1N_CC_A24_2,UNUSED,,2,,,,,,,,,
AK28,,IOBM,IO_L1P_CC_A25_2,UNUSED,,2,,,,,,,,,
AK29,,IOBM,IO_L4P_29,UNUSED,,29,,,,,,,,,
AK30,,IOBS,IO_L4N_VREF_29,UNUSED,,29,,,,,,,,,
AK31,,,VCCO_29,,,29,,,,,any******,,,,
AK32,,IOBM,IO_L13P_25,UNUSED,,25,,,,,,,,,
AK33,,IOBS,IO_L13N_25,UNUSED,,25,,,,,,,,,
AK34,,IOBS,IO_L0N_25,UNUSED,,25,,,,,,,,,
AK35,,IOBS,IO_L9N_CC_25,UNUSED,,25,,,,,,,,,
AK36,,,GND,,,,,,,,,,,,
AK37,,IOBM,IO_L14P_13,UNUSED,,13,,,,,,,,,
AK38,,,GND,,,,,,,,,,,,
AK39,,IPAD,MGTREFCLKP_117,UNUSED,,,,,,,,,,,
AK40,,IPAD,MGTREFCLKN_117,UNUSED,,,,,,,,,,,
AK41,,,GND,,,,,,,,,,,,
AK42,,IPAD,MGTRXN0_117,UNUSED,,,,,,,,,,,
AL1,pcie_top_0_pci_exp_3_rxn_pin,IPAD,MGTRXN1_118,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AL2,,,GND,,,,,,,,,,,,
AL3,,,MGTAVCC_118,,,,,,,,,,,,
AL4,,,GND,,,,,,,,,,,,
AL5,,,GND,,,,,,,,,,,,
AL6,,IOBS,IO_L14N_VREF_14,UNUSED,,14,,,,,,,,,
AL7,,IOBS,IO_L11N_CC_14,UNUSED,,14,,,,,,,,,
AL8,,,VCCO_14,,,14,,,,,any******,,,,
AL9,,IOBS,IO_L6N_14,UNUSED,,14,,,,,,,,,
AL10,,IOBM,IO_L2P_26,UNUSED,,26,,,,,,,,,
AL11,,IOBS,IO_L7N_26,UNUSED,,26,,,,,,,,,
AL12,,IOBS,IO_L10N_CC_26,UNUSED,,26,,,,,,,,,
AL13,,,GND,,,,,,,,,,,,
AL14,,IOBS,IO_L16N_30,UNUSED,,30,,,,,,,,,
AL15,,IOBS,IO_L19N_30,UNUSED,,30,,,,,,,,,
AL16,,IOBM,IO_L4P_30,UNUSED,,30,,,,,,,,,
AL17,,IOBM,IO_L4P_FCS_B_2,UNUSED,,2,,,,,,,,,
AL18,,,VCCO_2,,,2,,,,,any******,,,,
AL19,,IOBM,IO_L8P_D3_2,UNUSED,,2,,,,,,,,,
AL20,MDIO,IOB,IO_L9N_CC_GC_4,BIDIR,LVCMOS33,4,12,SLOW,,NONE,,LOCATED,YES,NONE,
AL21,,IOBM,IO_L7P_GC_VRN_4,UNUSED,,4,,,,,,,,,
AL22,,IOBM,IO_L12P_VRN_6,UNUSED,,6,,,,,,,,,
AL23,,,GND,,,,,,,,,,,,
AL24,RESET,IOB,IO_L6N_GC_4,INPUT,LVCMOS33,4,,,PULLUP,NONE,,LOCATED,YES,NONE,
AL25,,IOBM,IO_L6P_GC_4,UNUSED,,4,,,,,,,,,
AL26,,IOBM,IO_L0P_GC_D15_4,UNUSED,,4,,,,,,,,,
AL27,,IOBM,IO_L3P_A21_2,UNUSED,,2,,,,,,,,,
AL28,,,VCCO_2,,,2,,,,,any******,,,,
AL29,,IOBM,IO_L17P_29,UNUSED,,29,,,,,,,,,
AL30,,IOBS,IO_L17N_29,UNUSED,,29,,,,,,,,,
AL31,,IOBM,IO_L19P_25,UNUSED,,25,,,,,,,,,
AL32,,IOBS,IO_L19N_25,UNUSED,,25,,,,,,,,,
AL33,,,GND,,,,,,,,,,,,
AL34,,IOBM,IO_L9P_CC_25,UNUSED,,25,,,,,,,,,
AL35,,IOBM,IO_L18P_25,UNUSED,,25,,,,,,,,,
AL36,,IOBS,IO_L7N_SM2N_13,UNUSED,,13,,,,,,,,,
AL37,,IOBM,IO_L7P_SM2P_13,UNUSED,,13,,,,,,,,,
AL38,,,GND,,,,,,,,,,,,
AL39,,,GND,,,,,,,,,,,,
AL40,,,MGTAVCC_117,,,,,,,,,,,,
AL41,,,GND,,,,,,,,,,,,
AL42,,IPAD,MGTRXN1_117,UNUSED,,,,,,,,,,,
AM1,pcie_top_0_pci_exp_3_rxp_pin,IPAD,MGTRXP1_118,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AM2,pcie_top_0_pci_exp_3_txn_pin,OPAD,MGTTXN1_118,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AM3,,,MGTAVCCPLL_118,,,,,,,,,,,,
AM4,,,GND,,,,,,,,,,,,
AM5,,IOBM,IO_L18P_14,UNUSED,,14,,,,,,,,,
AM6,,IOBM,IO_L19P_14,UNUSED,,14,,,,,,,,,
AM7,,IOBS,IO_L19N_14,UNUSED,,14,,,,,,,,,
AM8,,IOBS,IO_L17N_26,UNUSED,,26,,,,,,,,,
AM9,,IOBM,IO_L17P_26,UNUSED,,26,,,,,,,,,
AM10,,,GND,,,,,,,,,,,,
AM11,,IOBM,IO_L7P_26,UNUSED,,26,,,,,,,,,
AM12,,IOBM,IO_L10P_CC_26,UNUSED,,26,,,,,,,,,
AM13,,IOBM,IO_L18P_26,UNUSED,,26,,,,,,,,,
AM14,,IOBM,IO_L16P_30,UNUSED,,30,,,,,,,,,
AM15,,,VCCO_30,,,30,,,,,any******,,,,
AM16,,IOBS,IO_L4N_VREF_30,UNUSED,,30,,,,,,,,,
AM17,,IOBS,IO_L4N_VREF_FOE_B_MOSI_2,UNUSED,,2,,,,,,,,,
AM18,,IOBM,IO_L6P_D7_2,UNUSED,,2,,,,,,,,,
AM19,,IOBS,IO_L6N_D6_2,UNUSED,,2,,,,,,,,,
AM20,,,GND,,,,,,,,,,,,
AM21,,IOBS,IO_L7N_GC_VRP_4,UNUSED,,4,,,,,,,,,
AM22,,IOBS,IO_L10N_CC_6,UNUSED,,6,,,,,,,,,
AM23,,IOBM,IO_L8P_CC_6,UNUSED,,6,,,,,,,,,
AM24,,IOBS,IO_L2N_GC_D10_4,UNUSED,,4,,,,,,,,,
AM25,,,VCCO_4,,,4,,,,,3.30,,,,
AM26,,IOBS,IO_L0N_GC_D14_4,UNUSED,,4,,,,,,,,,
AM27,,IOBS,IO_L3N_A20_2,UNUSED,,2,,,,,,,,,
AM28,,IOBM,IO_L9P_CC_29,UNUSED,,29,,,,,,,,,
AM29,,IOBM,IO_L15P_29,UNUSED,,29,,,,,,,,,
AM30,,,GND,,,,,,,,,,,,
AM31,,IOBM,IO_L17P_25,UNUSED,,25,,,,,,,,,
AM32,,IOBS,IO_L17N_25,UNUSED,,25,,,,,,,,,
AM33,,IOBS,IO_L8N_CC_25,UNUSED,,25,,,,,,,,,
AM34,,IOBM,IO_L6P_25,UNUSED,,25,,,,,,,,,
AM35,,,VCCO_25,,,25,,,,,any******,,,,
AM36,,IOBS,IO_L18N_25,UNUSED,,25,,,,,,,,,
AM37,,,VCCO_13,,,13,,,,,any******,,,,
AM38,,IOBM,IO_L9P_CC_SM0P_13,UNUSED,,13,,,,,,,,,
AM39,,,GND,,,,,,,,,,,,
AM40,,,MGTAVCCPLL_117,,,,,,,,,,,,
AM41,,OPAD,MGTTXN1_117,UNUSED,,,,,,,,,,,
AM42,,IPAD,MGTRXP1_117,UNUSED,,,,,,,,,,,
AN1,,,GND,,,,,,,,,,,,
AN2,pcie_top_0_pci_exp_3_txp_pin,OPAD,MGTTXP1_118,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AN3,,,MGTAVTTTX_118,,,,,,,,,,,,
AN4,,,GND,,,,,,,,,,,,
AN5,,IOBS,IO_L18N_14,UNUSED,,14,,,,,,,,,
AN6,,,VCCO_14,,,14,,,,,any******,,,,
AN7,,,GND,,,,,,,,,,,,
AN8,,IOBS,IO_L15N_26,UNUSED,,26,,,,,,,,,
AN9,,IOBM,IO_L6P_26,UNUSED,,26,,,,,,,,,
AN10,,IOBS,IO_L6N_26,UNUSED,,26,,,,,,,,,
AN11,,IOBS,IO_L3N_26,UNUSED,,26,,,,,,,,,
AN12,,,VCCO_26,,,26,,,,,any******,,,,
AN13,,IOBS,IO_L18N_26,UNUSED,,26,,,,,,,,,
AN14,,IOBM,IO_L10P_CC_30,UNUSED,,30,,,,,,,,,
AN15,,IOBS,IO_L10N_CC_30,UNUSED,,30,,,,,,,,,
AN16,,IOBM,IO_L11P_CC_30,UNUSED,,30,,,,,,,,,
AN17,,,GND,,,,,,,,,,,,
AN18,,IOBM,IO_L2P_30,UNUSED,,30,,,,,,,,,
AN19,,IOBS,IO_L1N_GC_D12_4,UNUSED,,4,,,,,,,,,
AN20,,IOBM,IO_L1P_GC_D13_4,UNUSED,,4,,,,,,,,,
AN21,,IOBM,IO_L10P_CC_6,UNUSED,,6,,,,,,,,,
AN22,,,VCCO_6,,,6,,,,,3.30,,,,
AN23,,IOBM,IO_L13P_6,UNUSED,,6,,,,,,,,,
AN24,,IOBS,IO_L8N_CC_6,UNUSED,,6,,,,,,,,,
AN25,CLK,IOB,IO_L2P_GC_D11_4,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,NO,NONE,
AN26,,IOBS,IO_L7N_D4_2,UNUSED,,2,,,,,,,,,
AN27,,,GND,,,,,,,,,,,,
AN28,,IOBM,IO_L1P_29,UNUSED,,29,,,,,,,,,
AN29,,IOBS,IO_L9N_CC_29,UNUSED,,29,,,,,,,,,
AN30,,IOBS,IO_L15N_29,UNUSED,,29,,,,,,,,,
AN31,,IOBM,IO_L15P_25,UNUSED,,25,,,,,,,,,
AN32,,,VCCO_25,,,25,,,,,any******,,,,
AN33,,IOBM,IO_L8P_CC_25,UNUSED,,25,,,,,,,,,
AN34,,IOBS,IO_L6N_25,UNUSED,,25,,,,,,,,,
AN35,,IOBS,IO_L16N_25,UNUSED,,25,,,,,,,,,
AN36,,IOBM,IO_L16P_25,UNUSED,,25,,,,,,,,,
AN37,,,GND,,,,,,,,,,,,
AN38,,IOBS,IO_L9N_CC_SM0N_13,UNUSED,,13,,,,,,,,,
AN39,,,GND,,,,,,,,,,,,
AN40,,,MGTAVTTTX_117,,,,,,,,,,,,
AN41,,OPAD,MGTTXP1_117,UNUSED,,,,,,,,,,,
AN42,,,GND,,,,,,,,,,,,
AP1,,,GND,,,,,,,,,,,,
AP2,pcie_top_0_pci_exp_4_txp_pin,OPAD,MGTTXP0_122,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AP3,,,GND,,,,,,,,,,,,
AP4,,,GND,,,,,,,,,,,,
AP5,,IOBM,IO_L15P_14,UNUSED,,14,,,,,,,,,
AP6,,IOBS,IO_L15N_14,UNUSED,,14,,,,,,,,,
AP7,,IOBS,IO_L19N_26,UNUSED,,26,,,,,,,,,
AP8,,IOBM,IO_L15P_26,UNUSED,,26,,,,,,,,,
AP9,,,VCCO_26,,,26,,,,,any******,,,,
AP10,,IOBM,IO_L3P_26,UNUSED,,26,,,,,,,,,
AP11,,IOBM,IO_L5P_26,UNUSED,,26,,,,,,,,,
AP12,,IOBS,IO_L5N_26,UNUSED,,26,,,,,,,,,
AP13,,IOBM,IO_L16P_26,UNUSED,,26,,,,,,,,,
AP14,,,GND,,,,,,,,,,,,
AP15,,IOBM,IO_L14P_30,UNUSED,,30,,,,,,,,,
AP16,,IOBS,IO_L15N_30,UNUSED,,30,,,,,,,,,
AP17,,IOBS,IO_L11N_CC_30,UNUSED,,30,,,,,,,,,
AP18,,IOBS,IO_L2N_30,UNUSED,,30,,,,,,,,,
AP19,,,VCCO_4,,,4,,,,,3.30,,,,
AP20,,IOBS,IO_L5N_GC_4,UNUSED,,4,,,,,,,,,
AP21,,IOBM,IO_L5P_GC_4,UNUSED,,4,,,,,,,,,
AP22,,IOBS,IO_L17N_6,UNUSED,,6,,,,,,,,,
AP23,,IOBS,IO_L13N_6,UNUSED,,6,,,,,,,,,
AP24,,,GND,,,,,,,,,,,,
AP25,,IOBM,IO_L9P_D1_FS1_2,UNUSED,,2,,,,,,,,,
AP26,,IOBM,IO_L7P_D5_2,UNUSED,,2,,,,,,,,,
AP27,,IOBS,IO_L5N_CSO_B_2,UNUSED,,2,,,,,,,,,
AP28,,IOBS,IO_L1N_29,UNUSED,,29,,,,,,,,,
AP29,,,VCCO_29,,,29,,,,,any******,,,,
AP30,,IOBS,IO_L12N_VRP_29,UNUSED,,29,,,,,,,,,
AP31,,IOBS,IO_L15N_25,UNUSED,,25,,,,,,,,,
AP32,,IOBM,IO_L11P_CC_25,UNUSED,,25,,,,,,,,,
AP33,,IOBS,IO_L11N_CC_25,UNUSED,,25,,,,,,,,,
AP34,,,GND,,,,,,,,,,,,
AP35,,IOBS,IO_L7N_25,UNUSED,,25,,,,,,,,,
AP36,,IOBM,IO_L7P_25,UNUSED,,25,,,,,,,,,
AP37,,IOBM,IO_L14P_25,UNUSED,,25,,,,,,,,,
AP38,,IOBS,IO_L14N_VREF_25,UNUSED,,25,,,,,,,,,
AP39,,,GND,,,,,,,,,,,,
AP40,,,GND,,,,,,,,,,,,
AP41,,OPAD,MGTTXP0_121,UNUSED,,,,,,,,,,,
AP42,,,GND,,,,,,,,,,,,
AR1,pcie_top_0_pci_exp_4_rxp_pin,IPAD,MGTRXP0_122,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AR2,pcie_top_0_pci_exp_4_txn_pin,OPAD,MGTTXN0_122,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AR3,,,MGTAVTTRX_122,,,,,,,,,,,,
AR4,,,GND,,,,,,,,,,,,
AR5,,,GND,,,,,,,,,,,,
AR6,,IOBM,IO_L19P_26,UNUSED,,26,,,,,,,,,
AR7,,IOBM,IO_L8P_CC_26,UNUSED,,26,,,,,,,,,
AR8,,IOBM,IO_L0P_26,UNUSED,,26,,,,,,,,,
AR9,,IOBS,IO_L0N_26,UNUSED,,26,,,,,,,,,
AR10,,IOBM,IO_L1P_26,UNUSED,,26,,,,,,,,,
AR11,,,GND,,,,,,,,,,,,
AR12,,IOBS,IO_L16N_26,UNUSED,,26,,,,,,,,,
AR13,,IOBS,IO_L9N_CC_30,UNUSED,,30,,,,,,,,,
AR14,,IOBS,IO_L14N_VREF_30,UNUSED,,30,,,,,,,,,
AR15,,IOBM,IO_L15P_30,UNUSED,,30,,,,,,,,,
AR16,,,VCCO_30,,,30,,,,,any******,,,,
AR17,,IOBS,IO_L8N_CC_30,UNUSED,,30,,,,,,,,,
AR18,,IOBS,IO_L0N_30,UNUSED,,30,,,,,,,,,
AR19,,IOBM,IO_L0P_30,UNUSED,,30,,,,,,,,,
AR20,PHY_RST_N,IOB,IO_L3P_GC_D9_4,OUTPUT,LVCMOS33,4,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
AR21,,,GND,,,,,,,,,,,,
AR22,,IOBM,IO_L17P_6,UNUSED,,6,,,,,,,,,
AR23,,IOBM,IO_L15P_6,UNUSED,,6,,,,,,,,,
AR24,,IOBM,IO_L0P_6,UNUSED,,6,,,,,,,,,
AR25,,IOBS,IO_L9N_D0_FS0_2,UNUSED,,2,,,,,,,,,
AR26,,,VCCO_2,,,2,,,,,any******,,,,
AR27,,IOBM,IO_L5P_FWE_B_2,UNUSED,,2,,,,,,,,,
AR28,,IOBM,IO_L10P_CC_29,UNUSED,,29,,,,,,,,,
AR29,,IOBS,IO_L10N_CC_29,UNUSED,,29,,,,,,,,,
AR30,,IOBM,IO_L12P_VRN_29,UNUSED,,29,,,,,,,,,
AR31,,,GND,,,,,,,,,,,,
AR32,,IOBM,IO_L13P_29,UNUSED,,29,,,,,,,,,
AR33,,IOBS,IO_L8N_CC_29,UNUSED,,29,,,,,,,,,
AR34,,IOBM,IO_L8P_CC_29,UNUSED,,29,,,,,,,,,
AR35,,IOBM,IO_L4P_25,UNUSED,,25,,,,,,,,,
AR36,,,VCCO_25,,,25,,,,,any******,,,,
AR37,,IOBS,IO_L5N_25,UNUSED,,25,,,,,,,,,
AR38,,,GND,,,,,,,,,,,,
AR39,,,GND,,,,,,,,,,,,
AR40,,,MGTAVTTRX_121,,,,,,,,,,,,
AR41,,OPAD,MGTTXN0_121,UNUSED,,,,,,,,,,,
AR42,,IPAD,MGTRXP0_121,UNUSED,,,,,,,,,,,
AT1,pcie_top_0_pci_exp_4_rxn_pin,IPAD,MGTRXN0_122,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AT2,,,GND,,,,,,,,,,,,
AT3,pcie_clk_n,IPAD,MGTREFCLKN_122,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
AT4,pcie_clk_p,IPAD,MGTREFCLKP_122,INPUT,,,,,,NONE,,LOCATED,NO,NONE,
AT5,,,GND,,,,,,,,,,,,
AT6,,IOBS,IO_L13N_26,UNUSED,,26,,,,,,,,,
AT7,,IOBS,IO_L8N_CC_26,UNUSED,,26,,,,,,,,,
AT8,,,GND,,,,,,,,,,,,
AT9,,IOBS,IO_L1N_26,UNUSED,,26,,,,,,,,,
AT10,,IOBS,IO_L12N_VRP_26,UNUSED,,26,,,,,,,,,
AT11,,,VCCO_26,,,26,,,,,any******,,,,
AT12,,IOBM,IO_L9P_CC_30,UNUSED,,30,,,,,,,,,
AT13,,,VCCO_30,,,30,,,,,any******,,,,
AT14,,IOBS,IO_L12N_VRP_30,UNUSED,,30,,,,,,,,,
AT15,,IOBS,IO_L17N_30,UNUSED,,30,,,,,,,,,
AT16,,IOBM,IO_L13P_30,UNUSED,,30,,,,,,,,,
AT17,,IOBM,IO_L8P_CC_30,UNUSED,,30,,,,,,,,,
AT18,,,GND,,,,,,,,,,,,
AT19,,IOBM,IO_L7P_6,UNUSED,,6,,,,,,,,,
AT20,,IOBS,IO_L3N_GC_D8_4,UNUSED,,4,,,,,,,,,
AT21,,IOBS,IO_L19N_6,UNUSED,,6,,,,,,,,,
AT22,,IOBS,IO_L15N_6,UNUSED,,6,,,,,,,,,
AT23,,,VCCO_6,,,6,,,,,3.30,,,,
AT24,,IOBS,IO_L0N_6,UNUSED,,6,,,,,,,,,
AT25,,IOBS,IO_L3N_29,UNUSED,,29,,,,,,,,,
AT26,,IOBM,IO_L3P_29,UNUSED,,29,,,,,,,,,
AT27,,IOBS,IO_L7N_29,UNUSED,,29,,,,,,,,,
AT28,,,GND,,,,,,,,,,,,
AT29,,IOBM,IO_L14P_29,UNUSED,,29,,,,,,,,,
AT30,,IOBM,IO_L19P_29,UNUSED,,29,,,,,,,,,
AT31,,IOBS,IO_L19N_29,UNUSED,,29,,,,,,,,,
AT32,,IOBS,IO_L13N_29,UNUSED,,29,,,,,,,,,
AT33,,,VCCO_29,,,29,,,,,any******,,,,
AT34,,IOBS,IO_L6N_29,UNUSED,,29,,,,,,,,,
AT35,,IOBS,IO_L4N_VREF_25,UNUSED,,25,,,,,,,,,
AT36,,IOBM,IO_L1P_25,UNUSED,,25,,,,,,,,,
AT37,,IOBM,IO_L5P_25,UNUSED,,25,,,,,,,,,
AT38,,,GND,,,,,,,,,,,,
AT39,,IPAD,MGTREFCLKP_121,UNUSED,,,,,,,,,,,
AT40,,IPAD,MGTREFCLKN_121,UNUSED,,,,,,,,,,,
AT41,,,GND,,,,,,,,,,,,
AT42,,IPAD,MGTRXN0_121,UNUSED,,,,,,,,,,,
AU1,pcie_top_0_pci_exp_5_rxn_pin,IPAD,MGTRXN1_122,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AU2,,,GND,,,,,,,,,,,,
AU3,,,MGTAVCC_122,,,,,,,,,,,,
AU4,,,GND,,,,,,,,,,,,
AU5,,,GND,,,,,,,,,,,,
AU6,,IOBM,IO_L13P_26,UNUSED,,26,,,,,,,,,
AU7,,,VCCO_26,,,26,,,,,any******,,,,
AU8,,IOBM,IO_L11P_CC_26,UNUSED,,26,,,,,,,,,
AU9,,IOBM,IO_L12P_VRN_26,UNUSED,,26,,,,,,,,,
AU10,,,GND,,,,,,,,,,,,
AU11,,IOBM,IO_L14P_26,UNUSED,,26,,,,,,,,,
AU12,,IOBM,IO_L18P_30,UNUSED,,30,,,,,,,,,
AU13,,IOBM,IO_L12P_VRN_30,UNUSED,,30,,,,,,,,,
AU14,,IOBM,IO_L17P_30,UNUSED,,30,,,,,,,,,
AU15,,,GND,,,,,,,,,,,,
AU16,,IOBS,IO_L13N_30,UNUSED,,30,,,,,,,,,
AU17,,IOBS,IO_L6N_30,UNUSED,,30,,,,,,,,,
AU18,,IOBM,IO_L6P_30,UNUSED,,30,,,,,,,,,
AU19,,IOBS,IO_L7N_6,UNUSED,,6,,,,,,,,,
AU20,,,VCCO_6,,,6,,,,,3.30,,,,
AU21,,IOBM,IO_L19P_6,UNUSED,,6,,,,,,,,,
AU22,,IOBS,IO_L18N_6,UNUSED,,6,,,,,,,,,
AU23,,IOBS,IO_L6N_6,UNUSED,,6,,,,,,,,,
AU24,,IOBS,IO_L2N_6,UNUSED,,6,,,,,,,,,
AU25,,,GND,,,,,,,,,,,,
AU26,,,VCCO_29,,,29,,,,,any******,,,,
AU27,,IOBM,IO_L7P_29,UNUSED,,29,,,,,,,,,
AU28,,IOBS,IO_L14N_VREF_29,UNUSED,,29,,,,,,,,,
AU29,,IOBM,IO_L16P_29,UNUSED,,29,,,,,,,,,
AU30,,,VCCO_29,,,29,,,,,any******,,,,
AU31,,IOBS,IO_L18N_29,UNUSED,,29,,,,,,,,,
AU32,,IOBM,IO_L11P_CC_29,UNUSED,,29,,,,,,,,,
AU33,,IOBS,IO_L11N_CC_29,UNUSED,,29,,,,,,,,,
AU34,,IOBM,IO_L6P_29,UNUSED,,29,,,,,,,,,
AU35,,,GND,,,,,,,,,,,,
AU36,,IOBS,IO_L2N_25,UNUSED,,25,,,,,,,,,
